,lmList,bbox,center
0,"[[176, 536, 0], [199, 529, -42], [203, 494, -59], [162, 460, -68], [130, 424, -78], [239, 396, -43], [274, 336, -61], [292, 298, -72], [306, 261, -81], [204, 380, -38], [219, 307, -57], [227, 259, -71], [235, 216, -78], [172, 387, -35], [155, 321, -68], [146, 274, -93], [144, 231, -107], [145, 413, -35], [139, 395, -69], [143, 424, -81], [150, 453, -85]]","(130, 216, 176, 320)","(218, 376)"
1,"[[180, 529, 0], [200, 523, -42], [203, 491, -60], [164, 459, -70], [132, 424, -80], [238, 391, -45], [271, 332, -63], [289, 293, -74], [302, 256, -83], [204, 376, -39], [216, 302, -59], [222, 254, -73], [229, 211, -80], [173, 383, -37], [154, 318, -69], [143, 271, -94], [140, 228, -107], [148, 409, -36], [141, 392, -70], [146, 421, -81], [153, 450, -85]]","(132, 211, 170, 318)","(217, 370)"
2,"[[181, 531, 0], [203, 523, -43], [207, 490, -62], [168, 459, -73], [135, 424, -84], [240, 389, -46], [272, 328, -65], [289, 290, -78], [303, 253, -87], [205, 375, -40], [218, 302, -61], [224, 254, -76], [232, 211, -84], [173, 383, -38], [155, 316, -71], [144, 270, -97], [142, 226, -112], [148, 409, -38], [140, 391, -72], [145, 420, -84], [153, 449, -88]]","(135, 211, 168, 320)","(219, 371)"
3,"[[186, 522, 0], [207, 515, -43], [212, 480, -60], [171, 444, -70], [137, 409, -81], [243, 379, -44], [274, 319, -61], [291, 279, -72], [304, 243, -80], [207, 365, -37], [219, 291, -56], [226, 244, -70], [234, 203, -77], [177, 374, -34], [157, 309, -66], [147, 263, -91], [145, 220, -105], [153, 400, -33], [146, 385, -67], [151, 414, -80], [160, 442, -84]]","(137, 203, 167, 319)","(220, 362)"
4,"[[186, 519, 0], [207, 512, -44], [210, 479, -63], [171, 444, -74], [140, 408, -85], [244, 377, -46], [276, 316, -65], [293, 278, -76], [306, 241, -85], [209, 362, -39], [221, 289, -60], [227, 242, -74], [235, 200, -81], [179, 371, -36], [160, 307, -69], [148, 261, -93], [145, 219, -107], [155, 398, -35], [147, 381, -69], [151, 411, -81], [160, 439, -85]]","(140, 200, 166, 319)","(223, 359)"
5,"[[186, 520, 0], [207, 513, -47], [208, 478, -66], [169, 442, -78], [140, 403, -89], [245, 376, -48], [276, 315, -67], [292, 277, -80], [305, 240, -89], [211, 362, -40], [222, 289, -61], [227, 241, -76], [234, 199, -84], [180, 371, -36], [160, 306, -69], [148, 260, -96], [143, 218, -111], [156, 397, -35], [149, 382, -71], [153, 412, -85], [161, 441, -91]]","(140, 199, 165, 321)","(222, 359)"
6,"[[189, 517, 0], [213, 510, -45], [218, 477, -63], [178, 441, -74], [146, 404, -85], [248, 375, -48], [278, 314, -67], [294, 274, -79], [307, 237, -88], [213, 360, -41], [225, 287, -62], [230, 239, -77], [237, 197, -85], [183, 369, -37], [163, 304, -70], [152, 258, -95], [147, 216, -108], [159, 395, -36], [151, 376, -69], [155, 404, -80], [162, 432, -84]]","(146, 197, 161, 320)","(226, 357)"
7,"[[191, 516, 0], [216, 510, -45], [222, 476, -63], [180, 440, -74], [148, 404, -85], [250, 374, -47], [280, 313, -66], [296, 274, -77], [308, 237, -86], [215, 360, -40], [226, 286, -60], [231, 239, -75], [238, 198, -83], [185, 368, -36], [165, 303, -69], [153, 258, -95], [148, 216, -109], [162, 395, -35], [153, 375, -70], [157, 405, -82], [164, 434, -86]]","(148, 198, 160, 318)","(228, 357)"
8,"[[192, 516, 0], [214, 509, -44], [218, 473, -62], [182, 434, -71], [151, 396, -80], [254, 373, -44], [286, 311, -62], [302, 272, -74], [315, 235, -83], [221, 359, -36], [234, 284, -57], [240, 237, -71], [247, 196, -78], [190, 366, -33], [174, 300, -65], [164, 255, -89], [161, 213, -101], [167, 392, -32], [158, 370, -65], [160, 397, -75], [166, 426, -78]]","(151, 196, 164, 320)","(233, 356)"
9,"[[194, 516, 0], [216, 509, -45], [219, 474, -63], [182, 436, -74], [151, 399, -84], [257, 373, -46], [289, 312, -64], [305, 273, -77], [318, 237, -86], [223, 358, -38], [236, 284, -59], [243, 237, -74], [251, 196, -82], [192, 366, -35], [175, 299, -67], [164, 254, -91], [161, 213, -104], [168, 392, -34], [160, 369, -67], [162, 397, -78], [168, 425, -81]]","(151, 196, 167, 320)","(234, 356)"
