,lmList,bbox,center
0,"[[582, 530, 0], [522, 502, 0], [492, 459, -7], [473, 428, -19], [465, 401, -28], [531, 393, 6], [523, 331, -16], [492, 333, -26], [474, 351, -30], [551, 391, -4], [493, 383, -31], [492, 420, -33], [512, 434, -28], [559, 400, -18], [491, 413, -41], [501, 448, -31], [523, 453, -20], [557, 415, -33], [502, 435, -46], [512, 462, -39], [534, 462, -30]]","(465, 331, 117, 199)","(523, 430)"
1,"[[580, 529, 0], [519, 500, 3], [490, 456, -1], [471, 426, -12], [460, 404, -20], [530, 392, 10], [523, 332, -10], [490, 333, -20], [470, 350, -23], [549, 391, -1], [489, 386, -26], [488, 424, -28], [510, 437, -23], [557, 401, -16], [490, 414, -38], [500, 448, -27], [523, 453, -16], [556, 416, -33], [503, 435, -45], [513, 460, -37], [534, 461, -28]]","(460, 332, 120, 197)","(520, 430)"
2,"[[578, 528, 0], [515, 501, 0], [486, 455, -7], [468, 423, -19], [456, 401, -28], [528, 390, 5], [521, 330, -16], [489, 328, -26], [471, 345, -29], [547, 390, -5], [486, 385, -31], [484, 422, -32], [505, 436, -27], [555, 402, -19], [488, 414, -42], [496, 447, -32], [520, 452, -21], [553, 419, -34], [500, 436, -48], [509, 460, -41], [530, 461, -32]]","(456, 328, 122, 200)","(517, 428)"
3,"[[577, 531, 0], [514, 501, 2], [485, 456, -3], [465, 424, -15], [455, 400, -25], [530, 390, 7], [519, 331, -14], [487, 331, -25], [467, 348, -29], [547, 391, -4], [482, 389, -30], [482, 427, -31], [503, 439, -27], [553, 403, -20], [484, 414, -41], [493, 448, -30], [515, 453, -19], [551, 420, -36], [498, 433, -48], [506, 458, -39], [525, 462, -30]]","(455, 331, 122, 200)","(516, 431)"
4,"[[576, 540, 0], [511, 508, 3], [480, 463, -3], [457, 433, -16], [436, 412, -26], [529, 395, 1], [513, 337, -19], [479, 337, -30], [458, 352, -35], [545, 396, -11], [480, 386, -35], [478, 421, -37], [499, 435, -34], [549, 411, -26], [478, 417, -44], [486, 448, -34], [509, 453, -25], [545, 430, -42], [490, 442, -52], [497, 465, -45], [518, 468, -37]]","(436, 337, 140, 203)","(506, 438)"
5,"[[579, 543, 0], [512, 510, 0], [480, 463, -7], [461, 430, -19], [445, 407, -29], [529, 399, 0], [510, 341, -20], [477, 338, -31], [457, 350, -36], [546, 398, -8], [479, 393, -34], [476, 427, -38], [495, 441, -35], [551, 412, -20], [480, 418, -42], [486, 449, -35], [509, 455, -26], [545, 429, -33], [489, 440, -46], [497, 462, -41], [518, 465, -35]]","(445, 338, 134, 205)","(512, 440)"
6,"[[577, 542, 0], [512, 509, 6], [480, 462, 1], [459, 429, -8], [439, 404, -16], [524, 401, 1], [514, 338, -20], [478, 335, -29], [454, 348, -32], [543, 401, -10], [480, 380, -34], [465, 412, -34], [475, 431, -28], [549, 414, -24], [474, 422, -44], [477, 454, -35], [499, 463, -25], [544, 431, -38], [487, 442, -49], [492, 466, -43], [512, 472, -35]]","(439, 335, 138, 207)","(508, 438)"
7,"[[569, 540, 0], [505, 504, 2], [481, 456, -4], [468, 421, -17], [461, 393, -27], [528, 395, 4], [526, 334, -17], [494, 331, -28], [473, 347, -32], [547, 397, -6], [483, 389, -31], [479, 425, -31], [499, 440, -26], [554, 412, -20], [486, 411, -43], [489, 443, -31], [510, 452, -18], [551, 430, -35], [497, 430, -48], [500, 454, -38], [518, 462, -28]]","(461, 331, 108, 209)","(515, 435)"
8,"[[564, 538, 0], [504, 500, 2], [481, 454, -5], [467, 420, -19], [457, 392, -30], [531, 393, 5], [526, 332, -17], [497, 333, -28], [478, 350, -32], [549, 396, -6], [483, 386, -31], [477, 423, -32], [498, 438, -28], [555, 411, -20], [484, 410, -43], [487, 444, -32], [509, 453, -20], [550, 428, -35], [494, 429, -48], [496, 454, -39], [514, 462, -28]]","(457, 332, 107, 206)","(510, 435)"
9,"[[563, 538, 0], [503, 499, 0], [480, 453, -8], [464, 419, -21], [453, 393, -31], [532, 392, 2], [524, 331, -20], [492, 333, -31], [471, 349, -36], [549, 396, -7], [480, 387, -34], [475, 425, -36], [495, 441, -33], [554, 411, -20], [483, 411, -44], [486, 446, -35], [508, 457, -23], [548, 428, -34], [494, 428, -48], [496, 454, -41], [513, 463, -31]]","(453, 331, 110, 207)","(508, 434)"
