,lmList,bbox,center
0,"[[630, 488, 0], [589, 465, -25], [575, 411, -35], [607, 365, -45], [637, 332, -55], [562, 338, -19], [544, 276, -34], [534, 238, -44], [526, 207, -50], [599, 336, -21], [607, 263, -38], [612, 223, -50], [616, 192, -56], [630, 353, -27], [644, 315, -56], [627, 348, -65], [616, 372, -65], [653, 381, -35], [648, 365, -61], [632, 395, -64], [621, 418, -62]]","(526, 192, 127, 296)","(589, 340)"
1,"[[631, 488, 0], [592, 466, -23], [577, 413, -33], [609, 369, -43], [641, 339, -53], [566, 340, -18], [550, 279, -34], [540, 242, -43], [532, 211, -51], [603, 338, -21], [612, 266, -38], [618, 226, -50], [622, 196, -57], [634, 354, -27], [648, 316, -55], [630, 349, -65], [618, 374, -65], [656, 380, -35], [651, 368, -61], [635, 398, -65], [625, 420, -63]]","(532, 196, 124, 292)","(594, 342)"
2,"[[634, 490, 0], [594, 470, -24], [579, 415, -34], [609, 368, -43], [639, 336, -51], [567, 343, -18], [550, 282, -33], [541, 244, -42], [533, 214, -49], [603, 340, -20], [611, 269, -37], [616, 228, -48], [621, 196, -54], [634, 356, -26], [648, 318, -55], [632, 352, -64], [620, 378, -62], [657, 382, -33], [654, 365, -61], [638, 396, -65], [627, 419, -62]]","(533, 196, 124, 294)","(595, 343)"
3,"[[637, 488, 0], [597, 467, -23], [583, 413, -33], [613, 367, -42], [641, 335, -51], [573, 340, -17], [555, 280, -32], [546, 242, -41], [538, 211, -47], [609, 338, -20], [617, 268, -37], [622, 228, -49], [627, 197, -56], [638, 355, -27], [652, 316, -56], [636, 349, -65], [624, 373, -64], [661, 381, -35], [657, 366, -61], [640, 395, -65], [629, 417, -63]]","(538, 197, 123, 291)","(599, 342)"
4,"[[637, 487, 0], [597, 467, -22], [581, 415, -32], [610, 370, -41], [638, 340, -51], [571, 340, -18], [555, 280, -33], [546, 242, -41], [538, 212, -47], [607, 338, -22], [618, 267, -38], [623, 227, -49], [627, 197, -55], [638, 354, -28], [652, 316, -56], [635, 350, -65], [622, 376, -63], [662, 380, -36], [657, 365, -61], [640, 395, -64], [629, 417, -61]]","(538, 197, 124, 290)","(600, 342)"
5,"[[638, 486, 0], [598, 465, -25], [585, 412, -35], [614, 365, -45], [643, 332, -54], [572, 339, -18], [556, 278, -33], [547, 240, -42], [540, 210, -48], [608, 337, -20], [617, 267, -37], [623, 227, -48], [628, 196, -54], [638, 354, -25], [653, 317, -54], [635, 354, -61], [622, 380, -59], [661, 379, -32], [658, 364, -58], [642, 394, -61], [631, 416, -57]]","(540, 196, 121, 290)","(600, 341)"
6,"[[636, 488, 0], [596, 465, -21], [582, 409, -31], [613, 362, -39], [643, 330, -48], [570, 342, -18], [555, 279, -32], [546, 242, -41], [538, 211, -46], [607, 340, -21], [618, 268, -37], [623, 227, -47], [628, 196, -53], [638, 357, -27], [652, 321, -55], [634, 355, -62], [621, 380, -60], [661, 382, -34], [659, 365, -60], [643, 395, -61], [632, 418, -57]]","(538, 196, 123, 292)","(599, 342)"
7,"[[635, 488, 0], [595, 468, -22], [579, 415, -32], [608, 369, -42], [637, 339, -51], [569, 341, -19], [554, 280, -35], [545, 242, -44], [537, 211, -50], [606, 340, -23], [617, 268, -40], [623, 227, -51], [627, 196, -57], [637, 356, -29], [651, 319, -57], [633, 355, -64], [620, 381, -62], [660, 381, -36], [656, 367, -62], [639, 397, -64], [628, 420, -61]]","(537, 196, 123, 292)","(598, 342)"
8,"[[634, 493, 0], [594, 471, -20], [579, 415, -29], [610, 368, -37], [640, 337, -46], [568, 343, -16], [552, 282, -31], [542, 244, -40], [534, 213, -46], [606, 342, -21], [615, 269, -37], [621, 228, -48], [626, 196, -54], [637, 359, -28], [651, 320, -57], [632, 356, -64], [619, 382, -63], [661, 386, -36], [659, 367, -63], [642, 398, -65], [630, 422, -62]]","(534, 196, 127, 297)","(597, 344)"
9,"[[636, 492, 0], [595, 473, -24], [579, 419, -34], [606, 372, -43], [634, 339, -51], [567, 341, -18], [550, 280, -33], [541, 241, -42], [533, 210, -49], [605, 339, -22], [614, 267, -38], [619, 225, -50], [623, 193, -57], [637, 357, -28], [652, 313, -59], [636, 343, -69], [625, 367, -70], [661, 384, -36], [657, 366, -65], [640, 397, -70], [628, 420, -68]]","(533, 193, 128, 299)","(597, 342)"
10,"[[634, 492, 0], [593, 472, -22], [577, 418, -31], [604, 373, -40], [631, 343, -49], [567, 337, -16], [551, 277, -30], [541, 238, -39], [534, 207, -46], [606, 336, -21], [615, 264, -37], [620, 222, -50], [625, 191, -57], [638, 354, -29], [654, 310, -58], [636, 343, -68], [622, 370, -67], [663, 383, -37], [658, 365, -66], [641, 395, -69], [630, 419, -67]]","(534, 191, 129, 301)","(598, 341)"
11,"[[634, 487, 0], [594, 463, -21], [579, 400, -30], [612, 348, -39], [645, 313, -47], [564, 328, -18], [545, 262, -34], [536, 221, -44], [527, 187, -52], [604, 326, -23], [613, 249, -40], [618, 206, -53], [622, 171, -60], [637, 345, -31], [655, 300, -61], [635, 337, -68], [621, 365, -66], [662, 375, -40], [662, 349, -67], [644, 380, -68], [633, 405, -64]]","(527, 171, 135, 316)","(594, 329)"
12,"[[637, 488, 0], [595, 466, -25], [580, 402, -34], [613, 349, -42], [644, 312, -50], [561, 326, -17], [543, 260, -32], [534, 219, -41], [525, 186, -47], [602, 323, -21], [611, 245, -37], [616, 201, -49], [621, 167, -55], [636, 341, -28], [653, 295, -60], [637, 332, -69], [625, 360, -67], [662, 370, -35], [659, 349, -66], [643, 383, -70], [632, 410, -67]]","(525, 167, 137, 321)","(593, 327)"
13,"[[636, 496, 0], [592, 474, -27], [576, 411, -38], [610, 357, -48], [642, 319, -58], [559, 328, -20], [539, 258, -36], [529, 215, -46], [520, 181, -53], [601, 325, -24], [611, 243, -42], [616, 197, -54], [621, 161, -61], [636, 344, -31], [654, 296, -64], [635, 336, -72], [622, 365, -70], [664, 375, -39], [663, 350, -71], [645, 386, -75], [631, 414, -71]]","(520, 161, 144, 335)","(592, 328)"
14,"[[635, 498, 0], [591, 473, -23], [574, 407, -32], [611, 355, -41], [644, 319, -49], [559, 328, -19], [540, 259, -34], [529, 216, -43], [520, 181, -50], [602, 326, -23], [612, 244, -40], [618, 198, -52], [623, 164, -60], [638, 345, -31], [656, 298, -62], [636, 337, -72], [621, 367, -71], [665, 375, -40], [662, 356, -70], [643, 392, -74], [630, 419, -72]]","(520, 164, 145, 334)","(592, 331)"
15,"[[638, 502, 0], [592, 475, -26], [576, 411, -36], [615, 359, -46], [651, 324, -56], [562, 331, -18], [543, 262, -35], [532, 218, -46], [522, 183, -54], [605, 329, -22], [615, 246, -41], [621, 200, -54], [627, 164, -62], [640, 349, -30], [659, 302, -63], [639, 343, -73], [624, 373, -71], [666, 380, -39], [665, 360, -71], [645, 396, -75], [631, 422, -72]]","(522, 164, 144, 338)","(594, 333)"
16,"[[638, 503, 0], [592, 480, -26], [576, 414, -36], [614, 361, -45], [648, 326, -54], [561, 331, -19], [542, 262, -34], [531, 219, -43], [522, 184, -50], [604, 329, -23], [614, 246, -40], [620, 199, -52], [626, 163, -59], [639, 349, -30], [657, 303, -63], [639, 342, -73], [626, 370, -72], [667, 380, -38], [665, 358, -70], [645, 394, -75], [631, 422, -72]]","(522, 163, 145, 340)","(594, 333)"
17,"[[640, 503, 0], [595, 479, -28], [578, 414, -39], [616, 361, -48], [650, 324, -57], [562, 332, -21], [543, 262, -37], [532, 218, -46], [522, 183, -53], [604, 329, -24], [614, 246, -41], [620, 200, -53], [626, 166, -59], [640, 349, -30], [659, 301, -63], [641, 341, -73], [628, 370, -72], [667, 379, -37], [665, 359, -70], [647, 396, -75], [634, 425, -73]]","(522, 166, 145, 337)","(594, 334)"
18,"[[664, 511, 0], [614, 492, -28], [587, 433, -38], [613, 376, -47], [642, 333, -54], [557, 354, -16], [525, 289, -33], [506, 249, -44], [491, 215, -51], [599, 343, -18], [592, 259, -37], [589, 211, -50], [587, 173, -57], [637, 355, -24], [645, 307, -60], [642, 338, -71], [640, 361, -70], [669, 379, -32], [661, 360, -66], [650, 398, -71], [643, 428, -67]]","(491, 173, 178, 338)","(580, 342)"
19,"[[671, 514, 0], [623, 499, -29], [595, 442, -41], [618, 384, -51], [640, 339, -61], [557, 362, -19], [524, 296, -36], [502, 256, -46], [483, 222, -54], [597, 347, -21], [586, 266, -40], [580, 220, -53], [576, 182, -60], [636, 357, -27], [642, 305, -62], [637, 350, -71], [634, 385, -68], [669, 379, -34], [660, 365, -68], [652, 406, -73], [648, 436, -70]]","(483, 182, 188, 332)","(577, 348)"
20,"[[679, 516, 0], [630, 501, -30], [601, 444, -42], [625, 384, -52], [647, 339, -62], [559, 368, -20], [526, 303, -38], [503, 264, -49], [485, 231, -57], [599, 351, -22], [585, 270, -40], [578, 223, -53], [574, 185, -59], [638, 360, -27], [644, 313, -62], [641, 361, -68], [638, 395, -64], [672, 383, -35], [667, 369, -68], [661, 411, -71], [655, 440, -67]]","(485, 185, 194, 331)","(582, 350)"
21,"[[699, 518, 0], [652, 504, -32], [624, 452, -46], [649, 396, -60], [676, 355, -72], [578, 370, -21], [541, 308, -41], [518, 269, -53], [501, 235, -62], [618, 354, -23], [604, 273, -44], [599, 226, -57], [596, 188, -65], [658, 361, -28], [668, 312, -63], [667, 359, -70], [665, 395, -66], [693, 381, -37], [693, 367, -68], [688, 407, -70], [684, 436, -66]]","(501, 188, 198, 330)","(600, 353)"
22,"[[698, 521, 0], [651, 505, -35], [626, 452, -50], [652, 392, -63], [675, 346, -74], [581, 370, -22], [544, 306, -40], [521, 267, -52], [503, 234, -61], [620, 354, -21], [607, 274, -39], [602, 227, -52], [598, 190, -58], [659, 364, -25], [670, 320, -59], [667, 367, -68], [663, 401, -66], [694, 387, -31], [696, 374, -64], [690, 417, -70], [684, 447, -67]]","(503, 190, 195, 331)","(600, 355)"
23,"[[698, 521, 0], [652, 505, -38], [626, 452, -53], [653, 393, -66], [677, 346, -77], [580, 370, -24], [543, 306, -43], [520, 266, -55], [502, 232, -64], [620, 354, -22], [607, 275, -40], [601, 228, -53], [597, 191, -60], [659, 363, -24], [669, 317, -58], [668, 363, -69], [664, 397, -68], [693, 386, -29], [696, 371, -64], [691, 414, -70], [684, 445, -69]]","(502, 191, 196, 330)","(600, 356)"
24,"[[697, 530, 0], [650, 511, -35], [628, 457, -49], [656, 398, -62], [682, 355, -73], [583, 372, -21], [550, 306, -39], [529, 265, -51], [512, 232, -61], [625, 357, -21], [617, 276, -39], [614, 228, -52], [613, 191, -60], [665, 368, -25], [678, 321, -57], [673, 366, -66], [668, 400, -64], [698, 392, -32], [700, 380, -63], [693, 420, -67], [685, 450, -64]]","(512, 191, 188, 339)","(606, 360)"
25,"[[692, 529, 0], [646, 510, -34], [624, 456, -50], [656, 399, -63], [683, 354, -75], [583, 372, -24], [549, 306, -43], [527, 265, -55], [509, 231, -63], [624, 357, -24], [615, 276, -44], [611, 228, -57], [609, 189, -63], [663, 368, -29], [676, 327, -64], [671, 374, -73], [665, 408, -71], [696, 392, -36], [700, 383, -70], [692, 425, -75], [684, 455, -72]]","(509, 189, 191, 340)","(604, 359)"
26,"[[674, 539, 0], [628, 517, -31], [610, 460, -46], [649, 409, -59], [687, 374, -71], [586, 368, -25], [561, 297, -43], [545, 252, -55], [534, 216, -65], [629, 360, -27], [632, 277, -47], [633, 227, -62], [636, 189, -72], [667, 376, -34], [688, 321, -65], [677, 356, -77], [668, 386, -79], [698, 404, -42], [700, 389, -73], [685, 425, -80], [671, 452, -80]]","(534, 189, 166, 350)","(617, 364)"
27,"[[673, 538, 0], [626, 515, -34], [609, 458, -49], [649, 406, -63], [685, 370, -75], [588, 366, -28], [565, 293, -46], [552, 249, -58], [541, 212, -66], [632, 359, -28], [637, 275, -48], [643, 226, -60], [647, 189, -67], [669, 377, -34], [691, 332, -68], [679, 371, -79], [667, 402, -78], [698, 407, -41], [702, 396, -74], [686, 435, -80], [670, 464, -79]]","(541, 189, 161, 349)","(621, 363)"
28,"[[653, 550, 0], [611, 526, -35], [599, 467, -51], [642, 416, -65], [680, 380, -78], [582, 369, -29], [567, 295, -49], [558, 248, -63], [552, 210, -73], [627, 365, -30], [643, 282, -51], [655, 234, -66], [664, 196, -75], [663, 386, -35], [691, 340, -71], [674, 380, -83], [659, 411, -84], [690, 420, -42], [697, 407, -78], [677, 447, -86], [660, 476, -85]]","(552, 196, 145, 354)","(624, 373)"
29,"[[648, 552, 0], [605, 524, -30], [591, 464, -45], [635, 417, -58], [675, 386, -70], [579, 369, -27], [566, 294, -46], [557, 248, -59], [549, 210, -68], [624, 367, -30], [640, 283, -52], [651, 235, -66], [660, 196, -75], [660, 388, -37], [686, 346, -72], [666, 387, -82], [650, 416, -81], [687, 421, -46], [690, 411, -79], [669, 449, -84], [652, 476, -82]]","(549, 196, 141, 356)","(619, 374)"
30,"[[644, 555, 0], [600, 527, -31], [586, 467, -46], [630, 421, -60], [669, 389, -73], [575, 370, -26], [562, 296, -46], [553, 250, -58], [545, 212, -68], [620, 368, -29], [636, 285, -50], [647, 236, -65], [656, 197, -74], [656, 390, -36], [681, 348, -71], [660, 390, -81], [643, 420, -79], [682, 425, -45], [686, 414, -79], [665, 452, -84], [647, 480, -82]]","(545, 197, 141, 358)","(615, 376)"
31,"[[633, 551, 0], [589, 522, -28], [575, 461, -41], [618, 416, -53], [658, 386, -64], [566, 367, -23], [551, 294, -41], [543, 248, -52], [536, 211, -61], [611, 366, -27], [626, 283, -47], [635, 233, -61], [642, 194, -70], [647, 388, -35], [669, 347, -68], [651, 383, -79], [638, 409, -80], [673, 423, -44], [671, 411, -76], [650, 447, -81], [634, 474, -79]]","(536, 194, 137, 357)","(604, 372)"
32,"[[631, 547, 0], [584, 519, -28], [570, 455, -38], [615, 409, -48], [656, 381, -58], [562, 364, -20], [549, 290, -36], [541, 245, -46], [535, 208, -53], [607, 363, -23], [622, 281, -41], [632, 232, -53], [641, 194, -61], [643, 385, -30], [666, 345, -62], [648, 379, -74], [634, 404, -75], [668, 419, -39], [669, 410, -70], [647, 446, -77], [630, 472, -76]]","(535, 194, 134, 353)","(602, 370)"
33,"[[619, 541, 0], [572, 515, -31], [558, 453, -46], [600, 408, -59], [637, 376, -72], [554, 355, -26], [543, 280, -45], [537, 234, -56], [534, 197, -64], [600, 356, -30], [618, 274, -51], [629, 225, -66], [640, 186, -75], [635, 380, -37], [658, 337, -72], [637, 378, -84], [621, 410, -85], [661, 416, -45], [658, 402, -80], [634, 439, -87], [616, 467, -86]]","(534, 186, 127, 355)","(597, 363)"
34,"[[615, 536, 0], [569, 507, -28], [556, 442, -42], [603, 398, -55], [645, 369, -67], [556, 351, -28], [545, 274, -47], [540, 227, -58], [536, 189, -65], [601, 354, -32], [620, 271, -53], [632, 223, -67], [642, 187, -74], [636, 378, -39], [658, 339, -73], [633, 377, -83], [614, 406, -83], [660, 412, -47], [656, 406, -79], [631, 442, -85], [613, 468, -83]]","(536, 187, 124, 349)","(598, 361)"
