,lmList,bbox,center
0,"[[280, 516, 0], [313, 490, -18], [334, 449, -28], [357, 421, -36], [385, 416, -46], [291, 398, -20], [299, 352, -32], [303, 323, -41], [304, 299, -49], [261, 399, -22], [257, 348, -32], [255, 317, -39], [251, 290, -45], [237, 412, -26], [216, 370, -38], [205, 342, -49], [196, 317, -57], [218, 436, -32], [186, 416, -45], [165, 402, -53], [148, 387, -57]]","(148, 290, 237, 226)","(266, 403)"
1,"[[279, 517, 0], [313, 490, -16], [334, 449, -25], [357, 422, -32], [385, 417, -41], [290, 398, -17], [299, 351, -28], [303, 323, -37], [304, 299, -44], [261, 398, -20], [257, 348, -29], [255, 316, -36], [252, 289, -41], [236, 411, -25], [217, 368, -35], [206, 340, -46], [197, 315, -53], [217, 435, -31], [185, 415, -43], [165, 401, -49], [148, 385, -54]]","(148, 289, 237, 228)","(266, 403)"
2,"[[277, 513, 0], [311, 488, -17], [334, 448, -26], [357, 424, -35], [385, 422, -45], [290, 396, -19], [300, 351, -31], [305, 323, -40], [306, 299, -48], [260, 396, -21], [258, 346, -31], [256, 315, -38], [253, 289, -44], [236, 409, -26], [217, 367, -37], [207, 339, -47], [199, 315, -54], [218, 432, -32], [187, 413, -44], [166, 399, -51], [150, 384, -55]]","(150, 289, 235, 224)","(267, 401)"
3,"[[277, 514, 0], [311, 489, -17], [334, 449, -27], [357, 423, -35], [384, 421, -44], [290, 396, -19], [300, 351, -31], [304, 323, -40], [306, 299, -48], [260, 396, -21], [258, 346, -32], [256, 314, -39], [252, 288, -44], [236, 409, -26], [217, 366, -38], [207, 338, -49], [199, 314, -56], [217, 432, -32], [186, 412, -45], [165, 398, -52], [149, 383, -57]]","(149, 288, 235, 226)","(266, 401)"
4,"[[275, 514, 0], [309, 489, -18], [331, 449, -28], [356, 423, -37], [384, 421, -46], [289, 396, -19], [299, 351, -32], [303, 323, -42], [305, 299, -50], [259, 396, -22], [256, 345, -32], [254, 314, -40], [251, 288, -46], [235, 408, -26], [216, 366, -39], [205, 339, -50], [196, 314, -57], [216, 432, -33], [185, 412, -46], [164, 399, -53], [148, 383, -57]]","(148, 288, 236, 226)","(266, 401)"
5,"[[276, 513, 0], [310, 488, -16], [332, 447, -25], [356, 423, -34], [382, 422, -43], [287, 394, -17], [297, 350, -29], [302, 323, -39], [304, 299, -47], [258, 394, -20], [255, 345, -30], [253, 313, -37], [249, 288, -43], [234, 407, -25], [215, 366, -37], [204, 339, -47], [196, 314, -54], [216, 431, -33], [184, 411, -45], [164, 398, -51], [147, 383, -56]]","(147, 288, 235, 225)","(264, 400)"
6,"[[274, 514, 0], [308, 488, -17], [331, 447, -26], [356, 423, -34], [383, 422, -43], [287, 395, -16], [297, 350, -28], [302, 322, -38], [304, 298, -46], [258, 394, -19], [255, 344, -29], [253, 313, -36], [249, 287, -42], [234, 407, -24], [215, 365, -36], [204, 338, -46], [195, 314, -53], [216, 431, -31], [184, 411, -43], [163, 398, -50], [146, 382, -54]]","(146, 287, 237, 227)","(264, 400)"
7,"[[273, 513, 0], [308, 487, -17], [331, 447, -26], [355, 423, -34], [382, 422, -43], [287, 395, -18], [297, 351, -30], [302, 323, -40], [304, 299, -48], [257, 394, -20], [254, 344, -30], [252, 313, -38], [249, 287, -43], [233, 406, -25], [215, 365, -36], [204, 338, -46], [196, 314, -53], [214, 430, -32], [183, 410, -43], [162, 396, -49], [146, 381, -53]]","(146, 287, 236, 226)","(264, 400)"
8,"[[272, 513, 0], [307, 487, -16], [330, 446, -24], [355, 423, -33], [383, 423, -42], [285, 394, -16], [295, 350, -27], [300, 322, -37], [303, 299, -45], [257, 394, -19], [253, 344, -29], [251, 313, -36], [247, 287, -42], [233, 406, -24], [213, 364, -36], [202, 337, -46], [194, 313, -53], [214, 429, -32], [181, 409, -43], [161, 395, -50], [144, 380, -54]]","(144, 287, 239, 226)","(263, 400)"
9,"[[271, 512, 0], [306, 487, -17], [329, 448, -27], [355, 424, -36], [383, 424, -46], [285, 394, -18], [296, 350, -31], [300, 322, -41], [302, 298, -49], [256, 393, -21], [253, 344, -31], [251, 313, -38], [247, 287, -44], [232, 405, -26], [213, 364, -37], [203, 337, -47], [195, 313, -54], [213, 429, -32], [182, 409, -44], [161, 396, -51], [145, 380, -55]]","(145, 287, 238, 225)","(264, 399)"
